Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,LenX,LenY,LenZ,X,Y,Z,Box_width,Box_depth,Box_height,Skriting,skriting_width,carcass_thickness,door_thickness,backplank_thickness,VB main position,VB double position,screw position,Profile_Depth,Profile_Width,Profile_Distance,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,Skriting,skriting_width,carcass_thickness,door_thickness,backplank_thickness,VB main position,VB double positiion,screw position,Profile_Depth,Profile_Width,Profile_Distance,,,,,,,,,,,
K_Base Bothside Exp 1Door,1,,Kitchen,North_Wall,Simple Box,ExptoExp,600,550,810,,,,600,550,810,110,560,20,21,10,50,50,50,,,,,,,,,,,,,,
bottom plank,2,,,,,,560,519,20,20,21,110,,,,,,,,,,,,,,,,,,,,,,,,,
back plank,2,,,,,,580,10,700,10,540,110,,,,,,,,,,,,,,,,,,,,,,,,,
skriting,2,,,,,,560,20,110,20,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,560,519,20,20,21,790,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,259.5,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,469,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,550.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,550.5,259.5,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,550.5,469,0,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,,,,20,531,810,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,50,799,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,259.5,799,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,469,799,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,705,20,519,105,,,,,,,,,,,,,,,,,,,,,,,,,
right plank,2,,,,,,20,531,810,580,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,50,799,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,259.5,799,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,469,799,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,705,0,529,105,,,,,,,,,,,,,,,,,,,,,,,,,
Door,2,,,,,,598,21,698,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,21,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,21,349,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,21,598,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,Skriting,skriting_width,carcass_thickness,door_thickness,backplank_thickness,VB main position,VB double positiion,screw position,Profile_Depth,Profile_Width,Profile_Distance,,,,,,,,,,,
K_Base 1Exp 2Door,1,,Kitchen,East_Wall,Simple Box,BoxtoExp,800,550,1000,,,,800,550,1000,110,780,20,21,10,50,50,50,,,,,,,,,,,,,,
shelf plank,2,,,,,,760,499,20,20,41,545,,,,,,,,,,,,,,,,,,,,,,,,,
back plank,2,,,,,,790,10,890,0,540,110,,,,,,,,,,,,,,,,,,,,,,,,,
skriting,2,,,,,,780,20,110,20,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,760,519,20,20,21,980,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,750.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,750.5,259.5,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,750.5,469,0,,,,,,,,,,,,,,,,,,,,,,,,,
bottom plank,2,,,,,,760,519,20,20,21,110,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,,,,20,519,1000,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,990,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,179.75,990,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,339.25,990,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,469,990,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,179.75,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,339.25,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,469,120,,,,,,,,,,,,,,,,,,,,,,,,,
